"User_id","Embeddings"
1,"[0.95309424 0.         0.         0.         1.2078673  2.2949643
 0.         1.0138451  1.7952079  1.1587489  1.7810569  0.
 0.         0.         0.         0.         2.7393396  2.0357358
 2.7581146  1.3046086  1.0853047  0.89569676 0.23548923 0.6486119
 1.4159424  2.5472689  1.1699119  0.         2.9061847  2.8347008
 1.1160034  1.2730956 ]"
2,"[2.8863213  0.         0.         0.         2.3746457  3.2858012
 0.         0.11264876 0.2150859  1.991216   1.9899735  0.
 0.         0.         0.         0.         2.556357   0.74813676
 2.7944295  2.2804646  2.5582852  1.3905889  0.54391354 0.6877647
 1.9693705  0.74811083 2.0509908  0.         0.5941761  1.735741
 1.3766891  0.        ]"
6,"[1.7169708 0.        0.        0.        2.8796995 0.8278708 0.
 1.768201  1.5007079 1.6004092 2.6639652 0.        0.        0.
 0.        0.        2.1206129 2.2614498 2.0606885 1.7998453 0.6822912
 1.5430524 3.2081974 1.0229343 0.8202408 2.4633956 1.6376985 0.
 2.0979702 2.8348045 2.375481  1.6909013]"
7,"[2.3528876  0.         0.         0.         2.1649427  2.4425297
 0.         1.3001412  0.8310757  0.50369763 2.1172414  0.
 0.         0.         0.         0.         0.6038939  0.55169517
 2.348121   1.5986663  0.73489803 2.2289732  1.052583   2.1858492
 0.8783913  0.         0.844435   0.         1.3334835  2.7839403
 1.4961175  2.1477115 ]"
9,"[1.8228207  0.         0.         0.         1.3764741  2.156514
 0.         1.6496999  1.7596338  2.368706   2.528854   0.
 0.         0.         0.         0.         2.7048445  1.5568161
 2.4520817  1.693848   3.6279492  1.9232596  2.0820355  0.2759862
 2.1388724  3.4751418  0.9022529  0.         1.8309804  2.5182767
 0.76176256 0.9324001 ]"
10,"[0.65415764 0.         0.         0.         1.10252    0.9561564
 0.         0.8416131  2.1846986  2.0927641  0.24042705 0.
 0.         0.         0.         0.         1.108837   1.8844006
 3.7568939  2.810237   2.635678   1.586115   1.5921617  2.7602003
 1.1595935  1.7815324  1.3460592  0.         0.35447443 1.7297646
 1.1264491  1.4718277 ]"
22,"[2.0611858 0.        0.        0.        1.9571847 1.9674118 0.
 0.9942092 1.9382913 1.9929124 2.6670763 0.        0.        0.
 0.        0.        2.301955  1.6890563 4.8740473 1.5302162 0.7233404
 2.3780715 1.9916048 1.3732817 1.895806  1.2464173 1.4912448 0.
 2.9570036 1.7906629 2.2640135 2.170176 ]"
66,"[2.6087816  0.         0.         0.         1.2575227  2.8102713
 0.         1.7935518  2.0390785  1.6494274  1.9692316  0.
 0.         0.         0.         0.         0.4401789  2.4096344
 0.3192672  3.3509064  2.4329712  1.0255853  3.6722453  1.1236237
 2.6118755  0.62762094 0.38564274 0.         1.2364494  1.9191711
 2.3067536  1.428549  ]"
70,"[0.24480377 0.         0.         0.         2.7477717  1.2278534
 0.         2.3557882  2.8125083  2.5042868  2.1018336  0.
 0.         0.         0.         0.         1.694904   2.1759422
 2.8991408  1.5655389  0.8761293  0.6090431  3.518027   1.2135168
 1.5816025  1.9327391  2.6117036  0.         1.9169706  3.25778
 1.9390018  2.2513351 ]"
76,"[0.85071176 0.         0.         0.         1.0932099  2.184567
 0.         1.9297683  2.648463   1.0281081  1.3611386  0.
 0.         0.         0.         0.         3.7961197  0.7445485
 3.7708068  4.438218   2.3475034  1.58465    1.7312337  1.4892606
 2.4584224  1.0222025  1.6420583  0.         3.1863272  1.0888501
 2.7210455  1.3504558 ]"
80,"[2.46096    0.         0.         0.         1.0026764  2.1821656
 0.         1.4743898  0.10427827 2.158702   1.0633888  0.
 0.         0.         0.         0.         1.1374565  2.5905817
 0.         0.9839912  2.128851   2.5686648  0.7478198  1.6100998
 1.1210843  1.071684   2.4101923  0.         1.5877119  2.7473521
 1.2188205  1.2916902 ]"
90,"[2.491531   0.         0.         0.         1.9378816  1.1098523
 0.         0.7004821  1.4107043  3.1681159  1.6066942  0.
 0.         0.         0.         0.         2.2298424  1.6316838
 2.9260957  1.7309278  1.3963208  2.645448   1.2833072  1.8204789
 2.3144698  2.3970604  2.209771   0.         3.0867445  2.1834972
 0.38585806 0.        ]"
98,"[2.0627475  0.         0.         0.         2.3184674  1.7992642
 0.         1.981317   1.9550929  1.7434363  2.4490206  0.
 0.         0.         0.         0.         1.0900145  1.9402599
 2.1546736  3.6209729  1.3848059  1.0569093  2.456947   0.8615481
 0.33364323 3.2538     1.6638072  0.         2.1362526  2.4896998
 1.3052913  1.0865215 ]"
99,"[0.6797979  0.         0.         0.         1.9516512  1.3013402
 0.         0.77297926 1.0194904  0.         1.8591859  0.
 0.         0.         0.         0.         1.108692   1.4897172
 0.93784845 2.2458217  2.0625303  1.9257466  0.99085426 1.0622984
 0.7994528  1.7002808  1.7831432  0.         1.8120462  0.71287453
 0.14828187 2.5776718 ]"
100,"[1.302755   0.         0.         0.         0.9919305  1.0844007
 0.         0.96046627 1.242724   2.7383087  1.8194833  0.
 0.         0.         0.         0.         1.1482714  1.7634555
 1.5421714  1.5104403  1.921182   0.5509141  1.4959687  0.
 2.213895   2.3678617  1.9680624  0.         2.8958125  1.516497
 1.1498005  2.9214845 ]"
123,"[1.1596786  0.         0.         0.         1.0131252  2.250068
 0.         1.5853947  2.8606315  2.0062141  3.7819989  0.
 0.         0.         0.         0.         1.8176147  1.0658004
 1.8001996  2.3246424  1.5352032  2.0324724  1.2977374  2.5331836
 1.5697507  2.6462178  0.68455875 0.         1.9469893  1.616777
 2.0683293  1.2019718 ]"
345,"[1.3402921  0.         0.         0.         0.79792136 2.255034
 0.         1.3503909  1.4274052  1.3540794  2.99302    0.
 0.         0.         0.         0.         2.1037285  1.4011943
 2.28354    0.88116026 1.8205496  1.1902242  3.067263   1.2622572
 1.2524877  1.7236218  1.0212525  0.         1.4688236  2.2751741
 1.6413177  1.0355468 ]"
