userid,age,dob_day,dob_year,dob_month,gender,friend_count,tweets,follower_count,likes,likes_received,friendship_tenure,post_count,post_liked,friends_added,friends_removed,follower_count_,pages_liked,games_played,story_count,post_added_time,story_added_time,post_removed_time,story_removed_time,posts_seen,profile_photo_added_time,profile_photo_removed_time,check_in,log_in_time,locations_visited,blocked_users,restricted_users,friendship_tenure_1,post_count_1,post_liked_1,friends_added_1,friends_removed_1,follower_count_1,pages_liked_1,games_played_1,story_count_1,post_added_time_1,story_added_time_1,post_removed_time_1,story_removed_time_1,posts_seen_1,profile_photo_added_time_1,profile_photo_removed_time_1,check_in_1,log_in_time_1,locations_visited_1,blocked_users_1,restricted_users_1,friendship_tenure_2,post_count_2,post_liked_2,friends_added_2,friends_removed_2,follower_count_2,pages_liked_2,games_played_2,story_count_2,post_added_time_2,story_added_time_2,post_removed_time_2,story_removed_time_2,posts_seen_2,profile_photo_added_time_2,profile_photo_removed_time_2,check_in_2,log_in_time_2,locations_visited_2,blocked_users_2,restricted_users_2,friendship_tenure_3,post_count_3,post_liked_3,friends_added_3,friends_removed_3,follower_count_3,pages_liked_3,games_played_3,story_count_3,post_added_time_3,story_added_time_3,post_removed_time_3,story_removed_time_3,posts_seen_3,profile_photo_added_time_3,profile_photo_removed_time_3,check_in_3,log_in_time_3,locations_visited_3,blocked_users_3,restricted_users_3,friendship_tenure_4,post_count_4,post_liked_4,friends_added_4,friends_removed_4,follower_count_4,pages_liked_4,games_played_4,story_count_4,post_added_time_4,story_added_time_4,post_removed_time_4,story_removed_time_4,posts_seen_4,profile_photo_added_time_4,profile_photo_removed_time_4,check_in_4,log_in_time_4,locations_visited_4,blocked_users_4,restricted_users_4,friendship_tenure_5,post_count_5,post_liked_5,friends_added_5,friends_removed_5,follower_count_5,pages_liked_5,games_played_5,story_count_5,post_added_time_5,story_added_time_5,post_removed_time_5,story_removed_time_5,posts_seen_5,profile_photo_added_time_5,profile_photo_removed_time_5,check_in_5,log_in_time_5,locations_visited_5,blocked_users_5,restricted_users_5,friendship_tenure_6,post_count_6,post_liked_6,friends_added_6,friends_removed_6,follower_count_6,pages_liked_6,games_played_6,story_count_6,post_added_time_6,story_added_time_6,post_removed_time_6,story_removed_time_6,posts_seen_6,profile_photo_added_time_6,profile_photo_removed_time_6,check_in_6,log_in_time_6,locations_visited_6,blocked_users_6,restricted_users_6,friendship_tenure_7,post_count_7,post_liked_7,friends_added_7,friends_removed_7,follower_count_7,pages_liked_7,games_played_7,story_count_7,post_added_time_7,story_added_time_7,post_removed_time_7,story_removed_time_7,posts_seen_7,profile_photo_added_time_7,profile_photo_removed_time_7,check_in_7,log_in_time_7,locations_visited_7,blocked_users_7,restricted_users_7,_friendship_tenure_1,_post_count_1,_post_liked_1,_friends_added_1,_friends_removed_1,_follower_count_1,_pages_liked_1,_games_played_1,_story_count_1,_post_added_time_1,_story_added_time_1,_post_removed_time_1,_story_removed_time_1,_posts_seen_1,_profile_photo_added_time_1,_profile_photo_removed_time_1,_check_in_1,_log_in_time_1,_locations_visited_1,_blocked_users_1,_restricted_users_1
1,24,10,1994,4,M,100,0,0,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24,10,1994,4,M,100,10,100,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,24,10,1994,4,M,100,10,100,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24,10,1994,4,M,100,0,0,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,24,10,1994,4,M,100,10,100,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,24,10,1994,4,M,100,10,100,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,24,10,1994,4,M,100,0,0,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,24,10,1994,4,M,100,10,100,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,24,10,1994,4,M,100,10,100,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,24,10,1994,4,M,100,0,0,140,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
